range,song_name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
long_term,Freaking Out the Neighborhood,Mac DeMarco,0.0639,https://api.spotify.com/v1/audio-analysis/25SJaCCPiosugnlY53VhRG,0.565,173889.0,0.832,25SJaCCPiosugnlY53VhRG,0.0291,8.0,0.386,-5.751,0.0,0.108,143.302,4.0,https://api.spotify.com/v1/tracks/25SJaCCPiosugnlY53VhRG,audio_features,spotify:track:25SJaCCPiosugnlY53VhRG,0.847
long_term,Just Walking In the Rain,The Prisonaires,0.991,https://api.spotify.com/v1/audio-analysis/6RjoyP0WpjeITVpLqFJhhL,0.355,166667.0,0.0471,6RjoyP0WpjeITVpLqFJhhL,0.000115,8.0,0.109,-18.257,1.0,0.0364,79.48,4.0,https://api.spotify.com/v1/tracks/6RjoyP0WpjeITVpLqFJhhL,audio_features,spotify:track:6RjoyP0WpjeITVpLqFJhhL,0.171
long_term,Your Mother Should Know - Remastered,The Beatles,0.784,https://api.spotify.com/v1/audio-analysis/1dxbAIfCASqv6jix2R1Taj,0.698,148413.0,0.293,1dxbAIfCASqv6jix2R1Taj,0.0106,0.0,0.0936,-11.361,1.0,0.0332,117.613,4.0,https://api.spotify.com/v1/tracks/1dxbAIfCASqv6jix2R1Taj,audio_features,spotify:track:1dxbAIfCASqv6jix2R1Taj,0.724
long_term,My Love,Paul McCartney,0.443,https://api.spotify.com/v1/audio-analysis/6W5B2atlbrHdC8vy8c3df8,0.42,248000.0,0.422,6W5B2atlbrHdC8vy8c3df8,2.41e-05,5.0,0.0655,-11.125,1.0,0.0322,120.076,4.0,https://api.spotify.com/v1/tracks/6W5B2atlbrHdC8vy8c3df8,audio_features,spotify:track:6W5B2atlbrHdC8vy8c3df8,0.154
long_term,Lust For Life,Girls,0.0101,https://api.spotify.com/v1/audio-analysis/72DTGt2tVAL6ATVhzVjvkk,0.25,145293.0,0.705,72DTGt2tVAL6ATVhzVjvkk,0.377,6.0,0.128,-6.044,1.0,0.0313,154.299,4.0,https://api.spotify.com/v1/tracks/72DTGt2tVAL6ATVhzVjvkk,audio_features,spotify:track:72DTGt2tVAL6ATVhzVjvkk,0.458
long_term,The Night Josh Tillman Came To Our Apt.,Father John Misty,0.285,https://api.spotify.com/v1/audio-analysis/5UXusQhn77o9f11H4NKFbM,0.601,216173.0,0.628,5UXusQhn77o9f11H4NKFbM,0.0,2.0,0.0993,-5.972,0.0,0.0226,98.879,4.0,https://api.spotify.com/v1/tracks/5UXusQhn77o9f11H4NKFbM,audio_features,spotify:track:5UXusQhn77o9f11H4NKFbM,0.654
long_term,While You Were Sleeping,Elvis Perkins,0.106,https://api.spotify.com/v1/audio-analysis/5DR0rzOMao8PN8TqJuYw08,0.35,379787.0,0.553,5DR0rzOMao8PN8TqJuYw08,5.75e-06,3.0,0.105,-9.264,1.0,0.0574,77.576,3.0,https://api.spotify.com/v1/tracks/5DR0rzOMao8PN8TqJuYw08,audio_features,spotify:track:5DR0rzOMao8PN8TqJuYw08,0.232
long_term,Alpenglow,S. Carey,0.898,https://api.spotify.com/v1/audio-analysis/0nGbKcuc2uIuJpS9SvhLtt,0.296,262147.0,0.332,0nGbKcuc2uIuJpS9SvhLtt,0.49,5.0,0.101,-11.594,0.0,0.0292,127.79,3.0,https://api.spotify.com/v1/tracks/0nGbKcuc2uIuJpS9SvhLtt,audio_features,spotify:track:0nGbKcuc2uIuJpS9SvhLtt,0.202
long_term,La Bikina,Mariachi Mexico,0.85,https://api.spotify.com/v1/audio-analysis/2kHDcpgwj6fEjV5uqRXahS,0.32,145334.0,0.388,2kHDcpgwj6fEjV5uqRXahS,0.724,7.0,0.133,-7.232,1.0,0.037,185.441,3.0,https://api.spotify.com/v1/tracks/2kHDcpgwj6fEjV5uqRXahS,audio_features,spotify:track:2kHDcpgwj6fEjV5uqRXahS,0.865
long_term,Hello,J. Cole,0.0774,https://api.spotify.com/v1/audio-analysis/30Chv2SmIry70YwtmtaKnj,0.631,219173.0,0.7,30Chv2SmIry70YwtmtaKnj,1.19e-05,9.0,0.106,-8.565,0.0,0.212,159.973,4.0,https://api.spotify.com/v1/tracks/30Chv2SmIry70YwtmtaKnj,audio_features,spotify:track:30Chv2SmIry70YwtmtaKnj,0.329
long_term,Pulaski at Night,Andrew Bird,0.67,https://api.spotify.com/v1/audio-analysis/3v6NuKeDbFbaq1lNjw3XtR,0.446,289093.0,0.643,3v6NuKeDbFbaq1lNjw3XtR,0.000818,7.0,0.0951,-7.925,1.0,0.0561,99.608,4.0,https://api.spotify.com/v1/tracks/3v6NuKeDbFbaq1lNjw3XtR,audio_features,spotify:track:3v6NuKeDbFbaq1lNjw3XtR,0.531
long_term,This Could Be Us,Rae Sremmurd,0.275,https://api.spotify.com/v1/audio-analysis/4jTiyLlOJVJj3mCr7yfPQD,0.718,206307.0,0.692,4jTiyLlOJVJj3mCr7yfPQD,0.0,5.0,0.118,-5.06,0.0,0.148,142.992,4.0,https://api.spotify.com/v1/tracks/4jTiyLlOJVJj3mCr7yfPQD,audio_features,spotify:track:4jTiyLlOJVJj3mCr7yfPQD,0.721
long_term,Song to the Siren,Amen Dunes,0.426,https://api.spotify.com/v1/audio-analysis/0HV0DzBkuBpQeZOXHpcEKV,0.289,224636.0,0.359,0HV0DzBkuBpQeZOXHpcEKV,0.00584,10.0,0.117,-11.515,1.0,0.037,72.269,3.0,https://api.spotify.com/v1/tracks/0HV0DzBkuBpQeZOXHpcEKV,audio_features,spotify:track:0HV0DzBkuBpQeZOXHpcEKV,0.0812
long_term,What You Were,The Drums,0.169,https://api.spotify.com/v1/audio-analysis/2WETO8PgRIdYLW4zz8xjnD,0.621,195280.0,0.829,2WETO8PgRIdYLW4zz8xjnD,0.495,7.0,0.32,-5.466,1.0,0.025,105.072,4.0,https://api.spotify.com/v1/tracks/2WETO8PgRIdYLW4zz8xjnD,audio_features,spotify:track:2WETO8PgRIdYLW4zz8xjnD,0.235
long_term,Automatic Stop,The Strokes,0.00336,https://api.spotify.com/v1/audio-analysis/6DUKQUhWqUySYngLXLNwP2,0.68,207029.0,0.536,6DUKQUhWqUySYngLXLNwP2,0.737,1.0,0.0884,-6.078,1.0,0.0384,105.917,4.0,https://api.spotify.com/v1/tracks/6DUKQUhWqUySYngLXLNwP2,audio_features,spotify:track:6DUKQUhWqUySYngLXLNwP2,0.959
long_term,Blood On The Leaves,Kanye West,0.385,https://api.spotify.com/v1/audio-analysis/42GcjriRK6srwHkfbkBqVl,0.415,359800.0,0.681,42GcjriRK6srwHkfbkBqVl,0.0,2.0,0.101,-4.104,0.0,0.189,171.893,4.0,https://api.spotify.com/v1/tracks/42GcjriRK6srwHkfbkBqVl,audio_features,spotify:track:42GcjriRK6srwHkfbkBqVl,0.364
long_term,New Ceremony,Dry the River,0.0818,https://api.spotify.com/v1/audio-analysis/6CSTqWwsn5BrkS47LsncBL,0.358,252293.0,0.757,6CSTqWwsn5BrkS47LsncBL,0.000275,6.0,0.12,-5.715,1.0,0.0444,121.245,4.0,https://api.spotify.com/v1/tracks/6CSTqWwsn5BrkS47LsncBL,audio_features,spotify:track:6CSTqWwsn5BrkS47LsncBL,0.196
long_term,Furthest Thing,Drake,0.141,https://api.spotify.com/v1/audio-analysis/6cT5orvyKqwghJp6KB9vG0,0.486,267373.0,0.776,6cT5orvyKqwghJp6KB9vG0,0.0,9.0,0.0565,-5.28,0.0,0.189,137.063,4.0,https://api.spotify.com/v1/tracks/6cT5orvyKqwghJp6KB9vG0,audio_features,spotify:track:6cT5orvyKqwghJp6KB9vG0,0.268
long_term,Creaking,S. Carey,0.683,https://api.spotify.com/v1/audio-analysis/7MHjQUf8zz7QDp5bOFVbaE,0.196,224080.0,0.527,7MHjQUf8zz7QDp5bOFVbaE,0.838,9.0,0.165,-12.504,1.0,0.0354,60.013,4.0,https://api.spotify.com/v1/tracks/7MHjQUf8zz7QDp5bOFVbaE,audio_features,spotify:track:7MHjQUf8zz7QDp5bOFVbaE,0.134
